,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
204,Max Kepler,30,123,Maj-AL,Minnesota,129,491,438,72,114,22,2,24,66,45,0,106,4,0,4,9,1,1,0.26,0.332,0.484,0.816,596146,0.684,0.1319999999999999
223,Manny Machado,30,125,Maj-NL,San Diego,138,601,543,75,140,21,0,30,91,50,1,109,2,0,6,20,3,2,0.258,0.32,0.462,0.782,592518,0.654,0.128
17,Elvis Andrus,34,123,Maj-AL,Chicago,112,406,374,39,94,20,1,6,44,25,1,71,4,1,2,11,12,4,0.251,0.304,0.358,0.662,462101,0.534,0.128
439,Taylor Ward,29,187,Maj-AL,Los Angeles,97,409,356,60,90,18,0,14,47,39,0,80,8,0,6,9,4,2,0.253,0.335,0.421,0.756,621493,0.636,0.12
449,Bobby Witt Jr.,23,123,Maj-AL,Kansas City,158,694,641,97,177,28,11,30,96,40,1,121,4,1,8,11,49,15,0.276,0.319,0.495,0.813,677951,0.695,0.118
201,Jarred Kelenic,23,123,Maj-AL,Seattle,105,416,372,44,94,25,2,11,49,41,4,132,1,0,2,6,13,5,0.253,0.327,0.419,0.746,672284,0.863,0.11699999999999999
167,Yuli Gurriel,39,123,Maj-NL,Miami,109,330,299,32,74,16,3,4,28,26,3,44,1,0,4,13,4,0,0.248,0.306,0.361,0.667,493329,0.783,0.11599999999999999
414,Trea Turner,30,124,Maj-NL,Philadelphia,155,691,639,102,170,35,5,26,76,45,2,150,6,0,1,12,30,0,0.266,0.32,0.459,0.778,607208,0.662,0.11599999999999999
269,Cedric Mullins,28,123,Maj-AL,Baltimore,116,455,404,51,94,23,3,15,74,43,1,101,1,3,4,6,19,3,0.233,0.305,0.416,0.721,656775,0.835,0.11399999999999999
108,Aledmys D\xc3\xadaz,32,124,Maj-AL,Oakland,109,344,315,25,72,20,1,4,24,17,2,66,7,1,4,14,1,0,0.229,0.28,0.337,0.616,649557,0.502,0.11399999999999999
35,Brett Baty,23,123,Maj-NL,New York,108,389,353,41,75,12,0,9,34,29,0,109,2,1,1,8,2,0,0.213,0.275,0.323,0.598,683146,0.71,0.11199999999999999
158,Nolan Gorman,23,142,Maj-NL,St. Louis,119,464,406,59,96,17,0,27,76,53,1,148,3,0,2,5,7,2,0.237,0.328,0.478,0.805,669357,0.915,0.10999999999999999
101,J.D. Davis,30,128,Maj-NL,San Francisco,144,546,480,61,119,23,1,18,69,52,0,152,6,0,6,16,1,0,0.248,0.325,0.413,0.738,605204,0.846,0.10799999999999998
271,Sean Murphy,28,124,Maj-NL,Atlanta,108,438,370,65,93,21,0,21,68,49,0,98,18,0,1,18,0,0,0.251,0.365,0.478,0.844,669221,0.951,0.10699999999999998
323,Anthony Rendon,33,212,Maj-AL,Los Angeles,43,183,148,23,35,6,0,2,22,25,0,27,6,0,4,6,2,0,0.237,0.361,0.318,0.678,543685,0.784,0.10599999999999998
340,Miguel Rojas,34,125,Maj-NL,Los Angeles,124,423,385,49,91,16,1,5,31,26,0,48,5,2,5,12,8,3,0.236,0.29,0.322,0.612,500743,0.507,0.10499999999999998
103,Bryan De La Cruz,26,123,Maj-NL,Miami,153,626,579,60,149,32,0,19,78,40,0,142,1,0,5,18,4,1,0.257,0.304,0.411,0.715,650559,0.819,0.10399999999999998
