Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Stephen Vogt,36,1043,Maj-NL,"Apr 1, 2021",Arizona,@,San Diego,1,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.25,0.25,1.0,1.25,519390
Joey Votto,37,1043,Maj-NL,"Apr 1, 2021",Cincinnati,,St. Louis,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,458015
Tyler Wade,26,1043,Maj-AL,"Apr 1, 2021",New York,,Toronto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,642180
Christian Walker,30,1043,Maj-NL,"Apr 1, 2021",Arizona,@,San Diego,1,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,572233
Eli White,27,1043,Maj-AL,"Apr 1, 2021",Texas,@,Kansas City,1,5,4,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0.5,0.6,0.5,1.1,642201
Evan White,25,1043,Maj-AL,"Apr 1, 2021",Seattle,,San Francisco,1,5,5,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.4,0.6,657108
Justin Williams,25,1043,Maj-NL,"Apr 1, 2021",St. Louis,@,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642211
Jesse Winker,27,1043,Maj-NL,"Apr 1, 2021",Cincinnati,,St. Louis,1,5,4,2,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0.5,0.6,0.75,1.35,608385
Kolten Wong,30,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,5,3,2,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0.333,0.6,0.333,0.933,543939
Brandon Woodruff,28,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605540
Mike Yastrzemski,30,1043,Maj-NL,"Apr 1, 2021",San Francisco,@,Seattle,1,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,573262
Christian Yelich,29,1043,Maj-NL,"Apr 1, 2021",Milwaukee,,Minnesota,1,5,4,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.5,0.6,0.5,1.1,592885
Mike Zunino,30,1043,Maj-AL,"Apr 1, 2021",Tampa Bay,@,Miami,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,572287
