Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Christian V\xc3\xa1zquez,32,224,Maj-AL,Minnesota,51,172,154,16,35,7,0,1,16,16,1,40,1,0,1,4,0,0,0.227,0.302,0.292,0.595,543877
Andrew Velazquez,28,224,Maj-AL,Los Angeles,7,25,19,2,5,1,0,0,0,6,0,4,0,0,0,0,4,1,0.263,0.44,0.316,0.756,623205
Nelson Vel\xc3\xa1zquez,24,271,Maj-NL,Chicago,13,32,29,8,7,2,0,3,6,3,0,8,0,0,0,1,0,0,0.241,0.313,0.621,0.933,676369
Alex Verdugo,27,226,Maj-AL,Boston,71,318,284,51,86,24,4,5,31,28,1,38,5,0,1,5,3,2,0.303,0.374,0.468,0.843,657077
Mark Vientos,23,233,Maj-NL,New York,16,49,45,2,8,0,0,1,5,3,0,14,0,0,1,1,0,0,0.178,0.225,0.244,0.469,668901
Matt Vierling,26,224,Maj-AL,Detroit,55,207,190,20,50,7,0,7,21,15,0,41,2,0,0,2,4,5,0.263,0.324,0.411,0.734,663837
David Villar,26,225,Maj-NL,San Francisco,40,127,113,14,18,6,0,5,12,10,0,38,3,0,1,1,1,1,0.159,0.244,0.345,0.589,681584
Meibrys Viloria,26,278,Maj-AL,Cleveland,10,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.25,0.0,0.25,650619
Daniel Vogelbach,30,224,Maj-NL,New York,53,165,139,16,31,6,0,4,21,26,1,42,0,0,0,2,0,0,0.223,0.346,0.353,0.698,596129
Luke Voit,32,265,Maj-NL,Milwaukee,22,74,68,5,15,3,0,0,4,4,0,27,2,0,0,3,2,0,0.221,0.284,0.265,0.549,572228
Anthony Volpe,22,224,Maj-AL,New York,76,281,252,27,49,8,2,10,28,27,0,86,1,0,1,5,15,0,0.194,0.274,0.361,0.635,683011
Jason Vosler,29,285,Maj-NL,Cincinnati,20,65,62,6,10,2,1,3,10,3,0,25,0,0,0,0,0,0,0.161,0.2,0.371,0.571,613564
Joey Votto,39,224,Maj-NL,Cincinnati,4,16,13,4,4,0,0,3,7,1,0,4,2,0,0,0,0,0,0.308,0.438,1.0,1.438,458015
LaMonte Wade Jr.,29,224,Maj-NL,San Francisco,69,277,222,39,63,11,1,9,27,48,0,50,4,2,1,1,2,0,0.284,0.418,0.464,0.882,664774
Tyler Wade,28,224,Maj-AL,Oakland,15,27,24,2,5,1,0,0,0,3,0,10,0,0,0,0,4,0,0.208,0.296,0.25,0.546,642180
Christian Walker,32,224,Maj-NL,Arizona,73,310,276,42,75,20,0,15,49,27,2,51,2,0,4,5,3,0,0.272,0.337,0.507,0.844,572233
Jordan Walker,21,227,Maj-NL,St. Louis,37,145,132,15,40,6,0,6,19,10,0,32,3,0,0,3,3,3,0.303,0.366,0.485,0.85,691023
Chad Wallach,31,224,Maj-AL,Los Angeles,35,96,89,13,21,2,0,6,11,7,0,31,0,0,0,4,0,0,0.236,0.292,0.461,0.752,595453
Matt Wallner,25,250,Maj-AL,Minnesota,11,25,19,3,7,1,0,1,4,3,0,4,3,0,0,0,1,1,0.368,0.52,0.579,1.099,670242
Taylor Walls,26,224,Maj-AL,Tampa Bay,64,229,198,36,42,10,2,7,25,30,0,57,1,0,0,1,16,1,0.212,0.319,0.389,0.708,670764
Jared Walsh,29,224,Maj-AL,Los Angeles,28,78,67,5,8,4,0,1,5,11,0,26,0,0,0,1,0,0,0.119,0.244,0.224,0.468,665120
Taylor Ward,29,224,Maj-AL,Los Angeles,70,296,263,43,64,10,0,9,27,23,0,62,5,0,5,5,3,2,0.243,0.311,0.384,0.695,621493
Drew Waters,24,224,Maj-AL,Kansas City,23,74,68,7,14,1,0,2,7,4,0,27,2,0,0,2,1,2,0.206,0.27,0.309,0.579,671221
Joey Wendle,33,224,Maj-NL,Miami,41,125,114,12,28,7,2,1,8,7,0,31,1,2,1,2,2,0,0.246,0.293,0.368,0.661,621563
Eli White,29,286,Maj-NL,Atlanta,6,17,14,1,1,0,0,0,0,2,0,7,1,0,0,0,0,0,0.071,0.235,0.071,0.307,642201
Joey Wiemer,24,224,Maj-NL,Milwaukee,73,247,224,29,48,13,0,10,27,22,0,75,0,0,1,3,10,1,0.214,0.283,0.406,0.69,686894
Luke Williams,26,287,Maj-NL,Los Angeles,4,10,10,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0.1,0.1,0.1,0.2,663897
Jesse Winker,29,224,Maj-NL,Milwaukee,44,143,122,12,24,3,0,1,16,17,0,40,3,0,1,0,0,0,0.197,0.308,0.246,0.554,608385
Patrick Wisdom,31,231,Maj-NL,Chicago,56,208,184,30,36,6,1,14,28,22,0,81,1,1,0,3,2,1,0.196,0.285,0.467,0.752,621550
Brett Wisely,24,243,Maj-NL,San Francisco,33,88,82,5,16,4,0,2,7,4,0,24,0,1,1,0,2,0,0.195,0.23,0.317,0.547,689172
Bobby Witt Jr.,23,224,Maj-AL,Kansas City,75,325,304,42,75,11,4,12,36,19,0,65,1,0,1,4,22,6,0.247,0.292,0.428,0.72,677951
Connor Wong,27,224,Maj-AL,Boston,56,185,168,29,39,14,0,6,18,13,0,61,3,1,0,2,1,1,0.232,0.299,0.423,0.722,657136
Kolten Wong,32,224,Maj-AL,Seattle,45,148,130,13,22,3,0,1,11,13,0,33,3,0,2,0,0,1,0.169,0.257,0.215,0.472,543939
Austin Wynns,32,226,Maj-NL,"Colorado,Los Angeles,San Francisco",22,57,51,4,9,2,0,0,6,4,0,21,0,1,1,3,1,0,0.177,0.232,0.216,0.448,642851
Mike Yastrzemski,32,226,Maj-NL,San Francisco,55,217,197,37,51,12,1,10,27,18,1,57,1,1,0,2,0,2,0.259,0.324,0.482,0.806,573262
Christian Yelich,31,224,Maj-NL,Milwaukee,72,305,267,49,71,14,1,9,33,35,3,72,3,0,0,5,16,2,0.266,0.357,0.427,0.784,592885
Juan Yepez,25,243,Maj-NL,St. Louis,20,46,42,5,9,1,0,2,2,3,0,13,1,0,0,0,0,1,0.214,0.283,0.381,0.664,660766
Masataka Yoshida,29,224,Maj-AL,Boston,67,292,261,40,80,17,2,8,39,26,0,31,4,0,1,9,3,0,0.307,0.377,0.479,0.856,807799
Seby Zavala,29,224,Maj-AL,Chicago,44,111,104,9,16,1,0,4,11,5,0,43,0,0,2,2,1,0,0.154,0.189,0.279,0.468,664874
Mike Zunino,32,233,Maj-AL,Cleveland,42,140,124,11,22,7,0,3,11,15,0,61,1,0,0,3,0,0,0.177,0.271,0.307,0.578,572287
